"route_short_name";"direction_id";"trip_headsign";"num_stops";"total_trips";"trips_peak_am";"trips_midday";"trips_peak_pm"
"323";1;"323 128 St to Newton Exchange";1;121;0.0;16.0;25.0
"324";0;"324 132 Street/To Surrey Central";2;60;0.0;9.0;13.0
"324";1;"324 132 Street/To Newton Exchange";1;60;0.0;9.0;14.0
"325";0;"325 140 St to Surrey Central Station";2;48;0.0;6.0;11.0
"325";1;"325 140 St to Newton Exchange";1;53;0.0;6.0;11.0
"326";0;"326 Guildford";1;25;0.0;3.0;6.0
"326";1;"326 Surrey Central Station";1;30;0.0;3.0;5.0
"329";0;"329 Scott & 96 Ave";1;1;0.0;0.0;1.0
"329";0;"329 Surrey Central Station";1;9;0.0;3.0;1.0
"329";1;"329 Scottsdale";2;9;0.0;3.0;0.0
"335";0;"335 Guildford";1;6;0.0;0.0;6.0
"335";0;"335 Newton Exchange";1;101;0.0;13.0;20.0
"335";1;"335 Surrey Central Station";3;103;0.0;12.0;19.0
"337";0;"337 Fraser Heights";3;69;0.0;12.0;11.0
"337";1;"337 Guildford";1;11;0.0;6.0;0.0
"337";1;"337 Surrey Central Station";1;58;0.0;6.0;12.0
"338";0;"338 East Fraser Heights";1;29;0.0;6.0;6.0
"338";1;"338 Guildford ";1;29;0.0;6.0;6.0
"340";0;"340 Scottsdale";1;63;0.0;6.0;12.0
"340";1;"340 22nd St Station";1;60;0.0;6.0;12.0
"341";0;"341 Guildford";2;41;0.0;6.0;8.0
"341";1;"341 Newton Exchange";1;43;0.0;6.0;7.0
"342";0;"342 Langley Centre";2;60;0.0;9.0;11.0
"342";1;"342 Newton Exchange";1;61;0.0;9.0;11.0
"345";0;"345 152 Street/To King George Station";2;53;0.0;6.0;11.0
"345";1;"345 152 Street/To White Rock Centre";1;53;0.0;6.0;14.0
"350";0;"350 White Rock Centre";2;52;0.0;6.0;9.0
"350";1;"350 Crescent Beach";1;51;0.0;6.0;9.0
"351";0;"351 Bridgeport Station";1;80;0.0;12.0;15.0
"351";1;"351 White Rock Centre";1;83;0.0;13.0;16.0
"352";0;"352 Ocean Park To Bridgeport Station";1;11;0.0;0.0;0.0
"352";1;"352 Ocean Park To White Rock Centre";1;11;0.0;0.0;8.0
"354";0;"354 Bridgeport Station";1;9;0.0;0.0;0.0
"354";1;"354 White Rock South";1;6;0.0;0.0;6.0
"360";0;"360 Peace Arch Hospital";1;27;0.0;6.0;6.0
"360";1;"360 Ocean Park";1;27;0.0;6.0;6.0
"361";0;"361WHITE Rock Centre";1;29;0.0;5.0;7.0
"361";1;"361 Ocean Park";1;29;0.0;6.0;6.0
"362";0;"362 White Rock Centre";1;24;0.0;6.0;6.0
"362";1;"362 Seaside";1;25;0.0;6.0;6.0
"363";0;"363 Southpoint";1;36;0.0;6.0;6.0
"363";1;"363 Peace Arch Hospital";1;36;0.0;6.0;6.0
"364";0;"364 64TH Avenue/To Langley Centre";1;55;0.0;9.0;11.0
"364";1;"364 64TH Avenue/To Scottsdale";1;50;0.0;9.0;11.0
"370";0;"370 Willowbrook";1;21;0.0;3.0;5.0
"370";1;"370 Cloverdale";1;23;0.0;3.0;6.0
"371";0;"371 Surrey Central Station";1;34;0.0;6.0;6.0
"371";1;"371 Scott Rd Station";1;34;0.0;6.0;6.0
"372";0;"372 Langley Centre";1;32;0.0;6.0;6.0
"372";1;"372 Clayton Heights";1;32;0.0;6.0;6.0
"373";0;"373 Guildford";1;59;0.0;9.0;12.0
"373";0;"373 To Gladstone Dr";1;12;0.0;0.0;11.0
"373";1;"373 Surrey Central Station";2;72;0.0;9.0;12.0
"375";0;"375 152 Street/To Guildford";1;34;0.0;6.0;5.0
"375";1;"375 152 Street/To White Rock South";1;34;0.0;6.0;6.0
"388";0;"388 Carvolth Exchange";1;30;0.0;6.0;6.0
"388";1;"388 22nd St Station";1;27;0.0;6.0;5.0
"391";0;"391 Scott Rd Station";1;5;0.0;0.0;0.0
"391";1;"391 Scottsdale";1;5;0.0;0.0;4.0
"393";0;"393 Surrey Central Station";2;7;0.0;0.0;0.0
"393";1;"393 Newton Exchange";1;5;0.0;0.0;5.0
"394";0;"394 King George Station";1;14;0.0;0.0;5.0
"394";1;"394 White Rock Centre";1;14;0.0;0.0;6.0
"395";0;"395 Langley Centre";1;11;0.0;0.0;7.0
"395";1;"395 King George Station";1;9;0.0;0.0;0.0
"401";0;"401 Brighouse Station";1;69;0.0;12.0;11.0
"401";1;"401 One Road";1;73;0.0;12.0;12.0
"402";0;"402 Brighouse Station";1;58;0.0;7.0;12.0
"402";1;"402 Two Road";1;56;0.0;6.0;12.0
"403";0;"403 Bridgeport Station";1;66;0.0;9.0;11.0
"403";0;"403 To Five Rd";1;3;0.0;0.0;0.0
"403";1;"403 Three Road";1;62;0.0;9.0;12.0
"404";0;"404 Four Road";1;36;0.0;7.0;6.0
"404";1;"404 Brighouse Station";2;38;0.0;6.0;6.0
"404";1;"404 Steveston & 5 Rd";1;1;0.0;0.0;0.0
"405";0;"405 Cambie";3;23;0.0;5.0;2.0
"405";0;"405 Cambie via Vulcan";2;12;0.0;0.0;3.0
